removed_yr,BrandName,ProductName,chemical_count
2009,Vaseline,Vaseline Men Hand Lotion,1
2009,Vaseline,Vaseline Total Moisture Conditioning Body Lotion,1
2009,Virtual Illusion,Lip Definer (Innocent),1
2009,Virtual Illusion,Lip Definer (Kola),1
2009,Virtual Illusion,Lip Definer (Naughty),1
2009,Virtual Illusion,Lip Definer (Nice),1
2009,Virtual Illusion,Lip Definer (Sienna),1
2009,Virtual Illusion,Lip Definer (Vixen),1
2009,YON KA,ADVANCED OPTIMIZER CREME,1
2009,YON KA,ADVANCED OPTIMIZER SERUM,1
2009,YON KA,ALPHA -CONTOUR - eye contour renewing gel,1
2009,YON KA,ALPHA EXFOLIATEUR - facial exfoliating fluid for all skin types,1
2009,YON KA,ANTI-AGE HOMME - Face moisturizer for men,1
2009,YON KA,ARGILE MARINE - Body mud mask,1
2009,YON KA,PROLONGATEUR DE BRONZAGE - Color enhancing body lotion,1
2009,Young Nails,"Rainbow Color Acrylic, Blue",1
2009,Young Nails,"Rainbow Color Acrylic, Purple",1
2009,Zuri,"Lip Gloss, All Shades",1
2009,Zuri,"Lipstick, All Shades",1
2009,Zuri Naturally Sheer,"Satin Finish Cream Makeup, All Shades",1
2009,bareMinerals,Lip Guard,1
2009,body by BRIGITTE,Wax Strip(s),1
2010,Aflred Sung,Sung Alfred Sung Parfum,1
2010,Alfred Sung,Jewel Alfred Sung Eau de Parfum Spray,1
2010,Alfred Sung,Jewel Alfred Sung Parfum Spray,1
2010,Alfred Sung,Sung Alfred Sung Eau de Toilette Spray,1
2010,Alpha Hydrox,Moisturizing Body Wash--Seamist,1
2010,Annemarie B�rlind,Eye Makeup Remover,1
2010,Arbonne Cosmetics,Natural Radiance Mineral Powder Foundation Broad Spectrum SPF 15 Sunscreen (Medium Beige),3
2010,Arbonne Cosmetics,Sheer Finish Tinted Moisturizer Broad Spectrum SPF 15 Sunscreen (Fair),3
2010,Aubrey Organics,Silken Earth Body Shimmer,1
2010,BEAUTY SOCIETY,CRYSTAL BALL,1
2010,BEAUTY SOCIETY,LET'S FACE IT,1
2010,BEAUTY SOCIETY,PHOTO SHOOT,1
2010,Badgley Mischka,Badgley Mischka Glamorous Bath and Shower Gel,1
2010,Bath & Body Works,Aromatherapy Sleep Mineral Bath Salts,1
2010,Bath & Body Works,C. O. Bigelow Mentha Body Exfoliating Soap,1
2010,Bath & Body Works,C.O. Bigelow Mentha Lip Shine,1
2010,Bath & Body Works,Lip Gloss Black Amethyst,1
2010,Bed Head,Urban Anti-Dotes Re-Energize # 1 Shampoo,1
2010,Bioglo,Spa Energy Body Wash,1
2010,Bioglo,Spa Energy Shampoo,1
2010,Boots Botanics,Lip Gloss,1
2010,CHANEL,Allure Hair & Body Wash,1
2010,CLARINS,COTTON FLOWER PALETTE YEUX 4 OMBRES &LINER / EYE QUARTET & LINER PALETTE,2
2010,CLARINS PARIS,BAROCCO TRIO FARD A PAUPIERES/EYE COLOUR TRIO,1
